	همچنونان	کالیبراسونی	قریبه	حق تدریس	بین ملللی	بلوجستان	کارگروهیان	
فربه           	10       	13       	3        	10       	11       	10       	10       	
همچنین         	4        	13       	9        	12       	11       	12       	10       	
همچنان         	2        	13       	9        	14       	13       	10       	10       	
قریه           	10       	11       	1        	6        	11       	12       	10       	
غریبه          	11       	12       	2        	9        	12       	11       	11       	
کالیبر کردن    	15       	8        	12       	15       	16       	15       	11       	
کالیبراسیون    	15       	2        	12       	15       	14       	13       	11       	
حق التدریس     	16       	13       	9        	2        	13       	14       	14       	
حق تدریسیها    	15       	16       	8        	3        	16       	15       	15       	
بین الملل      	13       	16       	12       	15       	4        	13       	15       	
مللها          	9        	12       	8        	13       	8        	9        	11       	
بلوچها         	10       	13       	7        	14       	11       	6        	10       	
کارگروهی       	14       	9        	9        	12       	15       	14       	2        	
کار گروهی      	15       	10       	10       	11       	14       	15       	3        	
گرجستان        	11       	12       	10       	11       	14       	5        	9        	
بلوچستان       	10       	13       	11       	14       	13       	2        	12       	
